AveMonthSpend,Age,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
46,50,High School,Skilled Manual,F,M,1,2,0,4,30436
55,49,Partial High School,Clerical,F,M,1,2,1,2,22758
48,19,Partial College,Skilled Manual,F,M,1,2,0,0,71231
43,20,Partial High School,Clerical,F,S,0,2,0,0,47655
44,49,Partial High School,Clerical,F,M,1,2,1,2,27871
73,49,Partial College,Clerical,M,M,1,2,0,3,71702
67,20,Partial College,Skilled Manual,M,M,1,2,0,0,49643
45,20,Partial College,Skilled Manual,F,M,1,2,0,0,61145
49,20,Partial College,Skilled Manual,F,M,1,2,0,0,89528
70,48,Partial High School,Clerical,M,M,1,2,1,2,25638
71,47,High School,Skilled Manual,M,S,0,2,0,3,58561
47,47,High School,Skilled Manual,F,M,1,2,0,3,51047
47,47,High School,Skilled Manual,F,M,0,2,0,3,42601
71,47,High School,Skilled Manual,M,M,1,2,0,3,57175
47,17,Partial High School,Clerical,F,S,1,2,0,0,52530
60,46,High School,Skilled Manual,M,S,0,2,0,3,53572
47,46,Partial College,Clerical,F,S,0,2,0,2,37189
54,17,Partial College,Skilled Manual,F,M,0,2,0,0,73455
42,45,Partial College,Skilled Manual,F,M,1,2,0,2,47557
73,45,Partial College,Skilled Manual,M,M,1,2,0,2,51741
42,44,Partial College,Skilled Manual,F,M,1,2,0,3,36995
88,44,Graduate Degree,Management,M,M,1,2,0,2,118356
84,43,Partial College,Skilled Manual,M,M,1,2,0,2,115123
50,43,Partial College,Skilled Manual,F,S,1,2,0,2,89168
87,43,Partial College,Skilled Manual,M,M,1,2,0,2,112219
83,43,Partial College,Skilled Manual,M,M,1,2,0,2,113799
42,22,High School,Skilled Manual,F,S,1,2,0,0,40177
68,22,High School,Skilled Manual,M,M,1,2,0,0,45719
51,24,Partial College,Skilled Manual,F,M,0,2,0,0,70527
56,24,Partial College,Professional,F,M,1,2,0,0,79389
66,21,Partial College,Professional,M,S,1,2,0,0,87923
52,42,High School,Skilled Manual,F,S,1,2,0,2,110109
49,42,High School,Skilled Manual,F,S,0,2,0,2,97777
87,42,High School,Skilled Manual,M,M,1,2,0,2,117102
55,42,High School,Skilled Manual,F,S,1,2,0,2,100516
53,42,High School,Skilled Manual,F,S,0,2,0,2,114118
45,41,High School,Skilled Manual,F,S,1,2,0,2,69369
76,41,High School,Skilled Manual,M,S,1,2,0,2,82712
49,40,High School,Professional,F,S,1,2,0,2,93987
74,40,High School,Professional,M,S,1,2,0,2,111730
53,40,High School,Professional,F,S,0,2,0,2,102080
47,23,High School,Professional,F,S,0,2,0,0,41006
87,38,Graduate Degree,Management,M,S,1,2,0,0,182453
92,38,Graduate Degree,Management,M,M,1,2,0,0,171722
83,31,Bachelors ,Management,F,M,1,3,2,2,131126
64,31,Graduate Degree,Management,F,S,0,3,1,1,164022
69,31,Graduate Degree,Management,F,M,1,3,1,1,160977
75,40,Partial High School,Skilled Manual,M,S,0,2,0,2,106415
47,40,High School,Professional,F,S,0,2,0,2,79996
94,40,Partial College,Professional,M,M,1,0,1,2,101025
69,40,Partial College,Professional,F,M,0,0,2,3,73542
104,40,Bachelors ,Management,M,M,1,0,1,2,124018
60,40,Bachelors ,Management,F,S,1,1,1,2,101126
89,40,Partial College,Professional,M,M,1,1,0,2,119557
75,30,Bachelors ,Professional,F,M,1,0,2,2,123140
75,30,Bachelors ,Professional,F,M,1,0,2,2,123140
56,30,Graduate Degree,Management,F,M,1,0,0,0,120674
71,35,Partial College,Skilled Manual,M,S,0,1,0,1,79283
71,35,Partial College,Skilled Manual,M,S,1,1,0,1,71390
83,35,Bachelors ,Professional,M,M,1,1,0,1,112639
77,36,Partial College,Skilled Manual,M,M,1,1,0,1,86604
48,36,Partial College,Skilled Manual,F,S,0,1,0,1,67547
82,36,Bachelors ,Professional,M,M,1,1,0,1,97854
47,37,Partial College,Skilled Manual,F,S,1,1,0,1,71897
51,32,Bachelors ,Professional,F,S,0,1,0,0,79704
93,32,Bachelors ,Professional,F,S,1,4,5,5,113021
87,33,Bachelors ,Professional,M,M,0,1,0,0,113353
53,33,Bachelors ,Professional,F,S,0,1,0,0,88336
57,38,Bachelors ,Professional,F,M,1,1,0,1,119082
52,34,Bachelors ,Professional,F,S,0,2,0,0,78838
78,34,Bachelors ,Professional,M,S,0,2,0,0,93847
48,35,Partial College,Skilled Manual,F,M,1,1,0,1,67969
51,35,Partial College,Skilled Manual,F,M,1,1,0,1,60480
143,35,Bachelors ,Professional,M,M,1,2,4,5,101742
140,35,Partial College,Skilled Manual,M,M,1,2,4,5,99415
135,35,Partial College,Skilled Manual,M,M,1,2,4,5,88731
74,40,Partial College,Skilled Manual,M,S,0,1,0,1,108647
58,62,Partial College,Clerical,M,S,0,2,0,2,53601
45,61,Bachelors ,Management,F,S,1,1,0,2,54903
134,37,Partial College,Skilled Manual,M,M,1,3,4,5,86377
135,37,Partial College,Skilled Manual,M,M,1,3,4,5,86253
136,37,Partial College,Skilled Manual,M,M,1,3,4,5,85149
52,41,Partial College,Skilled Manual,F,S,1,1,0,1,89135
73,48,High School,Skilled Manual,M,M,0,2,1,2,15435
46,22,High School,Skilled Manual,F,M,1,1,0,0,36411
43,22,High School,Skilled Manual,F,M,1,1,0,0,43437
46,17,High School,Skilled Manual,F,M,1,2,0,0,41529
47,17,High School,Skilled Manual,F,M,0,2,0,0,37690
41,17,High School,Skilled Manual,F,S,0,2,0,0,55528
39,17,Partial High School,Clerical,F,S,0,2,0,0,42585
55,51,High School,Skilled Manual,M,S,1,2,0,5,23391
65,18,Partial High School,Clerical,M,S,0,2,0,0,52684
40,19,High School,Skilled Manual,F,S,0,2,0,0,42053
48,19,High School,Skilled Manual,F,M,1,2,0,0,45688
50,19,High School,Skilled Manual,F,M,0,2,0,0,43972
36,59,Partial College,Clerical,F,S,0,2,0,2,51465
63,20,Partial High School,Clerical,M,S,0,2,0,0,52348
48,20,High School,Skilled Manual,F,M,0,2,0,0,35251
68,20,High School,Skilled Manual,M,S,0,2,0,0,49688
67,20,High School,Skilled Manual,M,M,1,2,0,0,46959
65,18,High School,Skilled Manual,M,S,0,2,0,0,55353
43,18,High School,Skilled Manual,F,S,0,2,0,0,43525
37,58,Bachelors ,Management,F,S,1,2,0,2,60241
74,58,Graduate Degree,Management,M,M,1,1,0,2,111668
68,56,Bachelors ,Management,M,M,1,2,0,2,61090
68,56,Bachelors ,Management,M,M,1,2,0,2,66151
65,56,Bachelors ,Management,M,S,1,2,0,2,66672
46,55,Graduate Degree,Management,F,S,0,1,0,2,86647
65,21,High School,Skilled Manual,M,S,1,2,0,0,54193
48,21,High School,Skilled Manual,F,M,1,2,0,0,40144
45,21,Partial College,Skilled Manual,F,S,1,1,0,0,44247
45,21,Partial College,Skilled Manual,F,S,1,1,0,0,44247
72,21,Partial College,Skilled Manual,M,S,0,1,0,0,79135
39,21,Partial College,Skilled Manual,F,S,0,1,0,0,41364
44,22,High School,Skilled Manual,F,M,1,2,0,0,38049
65,22,High School,Skilled Manual,M,S,1,2,0,0,47707
46,22,High School,Skilled Manual,F,S,0,2,0,0,49566
67,23,Partial College,Skilled Manual,M,S,0,1,0,0,51861
46,23,Partial College,Skilled Manual,F,S,0,1,0,0,47889
67,23,Partial College,Skilled Manual,M,S,1,1,0,0,54601
73,23,Partial College,Skilled Manual,M,M,1,1,0,0,52064
55,23,Partial College,Skilled Manual,M,S,0,1,0,0,38024
48,24,Partial College,Skilled Manual,F,M,0,1,0,0,70217
55,25,Bachelors ,Management,F,S,0,1,0,0,112799
75,29,Bachelors ,Management,M,S,0,1,0,0,135109
143,29,Bachelors ,Management,M,M,1,1,4,4,124931
91,29,Bachelors ,Management,F,M,1,1,4,4,109170
79,30,Bachelors ,Management,M,S,1,2,0,1,133386
58,30,Bachelors ,Management,F,M,1,2,0,1,103995
53,30,Graduate Degree,Management,F,S,0,4,0,0,145587
104,30,Graduate Degree,Management,M,M,1,0,1,1,177476
71,34,Partial College,Skilled Manual,M,S,1,2,0,0,81633
146,29,Bachelors ,Management,M,M,1,1,4,4,115028
122,54,Graduate Degree,Management,M,M,1,3,3,3,136912
93,54,Graduate Degree,Management,F,M,1,3,4,4,156685
132,54,Graduate Degree,Management,M,M,1,2,3,3,172787
47,53,Bachelors ,Management,F,S,1,2,0,4,83236
46,53,Bachelors ,Management,F,S,1,2,0,4,83781
46,53,Bachelors ,Management,F,S,1,2,0,4,93402
48,53,Bachelors ,Management,F,S,1,2,0,4,82881
43,53,Bachelors ,Management,F,S,1,2,0,4,83441
58,53,Graduate Degree,Management,F,M,1,2,0,4,94970
56,53,Graduate Degree,Management,F,M,0,2,0,4,99872
76,53,Bachelors ,Management,M,M,1,2,0,5,101233
49,52,Bachelors ,Management,F,S,1,3,0,5,84648
77,52,Bachelors ,Management,M,M,1,2,0,4,90815
54,52,Bachelors ,Management,F,M,1,2,0,4,94863
54,51,Bachelors ,Management,F,M,1,3,0,5,73577
73,51,Bachelors ,Management,M,M,1,3,0,5,97901
60,51,Bachelors ,Management,F,M,0,1,1,3,90232
51,51,Bachelors ,Management,F,S,1,1,1,4,76580
59,51,Bachelors ,Management,F,M,1,1,1,4,78221
93,50,Bachelors ,Management,M,M,1,1,1,4,103598
61,50,Bachelors ,Management,F,M,1,1,1,4,89446
54,50,Bachelors ,Management,F,M,0,2,0,5,113272
85,49,High School,Professional,M,M,1,2,1,2,69838
52,49,High School,Professional,F,M,1,2,1,2,58108
51,49,High School,Professional,F,M,1,2,1,2,39578
90,49,Partial College,Professional,M,M,1,1,1,2,92991
58,49,Partial College,Professional,F,S,1,1,1,2,81094
58,49,Bachelors ,Management,F,M,1,0,1,2,78661
87,49,Partial College,Professional,M,M,1,2,1,4,96561
62,48,High School,Professional,F,M,1,2,1,2,58361
55,48,High School,Professional,F,M,1,2,1,2,38632
51,48,Partial College,Professional,F,S,1,2,1,2,56525
59,47,Partial High School,Skilled Manual,F,M,1,2,1,2,49475
59,47,Partial College,Professional,F,S,1,2,1,2,74536
60,47,Partial College,Professional,F,S,0,2,1,2,85428
102,47,High School,Professional,M,M,1,2,1,2,108724
62,47,Partial College,Professional,F,M,1,1,1,2,79889
107,47,Partial College,Professional,M,M,1,1,2,4,91062
62,47,Bachelors ,Management,F,M,1,1,1,3,105284
56,46,High School,Professional,F,S,1,2,1,2,75682
58,46,High School,Professional,F,S,1,2,1,2,70761
59,46,Partial College,Professional,F,M,1,1,1,2,77466
57,46,Partial College,Professional,F,M,1,1,1,2,70464
64,46,Partial College,Professional,F,M,1,2,1,2,75544
95,46,Partial College,Professional,M,S,1,1,2,4,98730
70,46,Partial College,Professional,F,M,0,2,2,4,83264
88,45,High School,Professional,M,M,1,2,1,2,82297
108,45,Partial College,Professional,M,M,1,2,2,4,95941
57,45,Partial College,Professional,F,S,1,2,2,4,71485
104,45,Partial College,Professional,M,M,1,2,2,4,88990
95,45,Partial College,Professional,M,S,1,2,2,5,100379
131,39,Bachelors ,Management,M,S,0,4,3,3,162724
82,39,Bachelors ,Management,F,S,0,4,3,3,151103
96,39,Partial College,Professional,F,M,0,2,4,4,118128
93,39,Partial College,Professional,F,M,1,4,3,3,131941
72,40,Partial College,Professional,F,S,1,4,3,3,102433
153,40,Partial College,Professional,M,M,1,3,4,4,153852
90,40,Partial College,Professional,F,M,1,3,3,3,141786
82,40,Bachelors ,Management,F,S,0,3,3,3,132294
154,41,High School,Professional,M,M,0,4,4,4,161450
92,41,High School,Professional,F,M,0,4,4,4,122118
94,41,Partial College,Professional,F,S,0,3,4,4,128270
151,42,Partial College,Professional,M,M,1,4,4,4,168801
97,42,Partial College,Professional,F,M,1,3,4,4,136241
99,42,High School,Professional,F,M,1,2,4,4,140418
65,65,Graduate Degree,Management,M,S,1,1,0,3,154375
70,64,Graduate Degree,Management,M,M,1,2,0,2,117209
68,64,Graduate Degree,Management,M,M,1,2,0,4,119951
67,64,Graduate Degree,Management,M,M,1,2,0,4,105304
46,64,Graduate Degree,Management,F,M,1,2,0,4,97299
58,64,Graduate Degree,Management,F,S,1,4,2,2,148769
102,64,Graduate Degree,Management,M,M,1,4,2,2,167816
69,32,Partial College,Professional,F,M,1,4,1,4,100180
83,32,Graduate Degree,Management,F,M,1,1,2,2,152859
76,31,Graduate Degree,Skilled Manual,M,M,1,0,0,0,110741
76,31,Graduate Degree,Skilled Manual,M,M,1,0,0,0,110741
98,33,Partial College,Professional,F,M,1,3,5,5,96599
146,33,Partial College,Professional,M,S,0,3,5,5,122105
106,33,Partial College,Professional,F,M,1,3,5,5,107988
56,33,Partial College,Professional,F,S,0,1,0,0,101648
109,33,Partial College,Professional,M,S,1,4,2,4,156469
79,33,Graduate Degree,Management,F,M,1,2,2,2,161789
126,33,Graduate Degree,Management,M,M,1,2,2,2,182808
123,33,Graduate Degree,Management,M,M,1,3,2,2,173210
54,33,Bachelors ,Management,F,S,0,4,0,2,151719
71,41,Partial College,Professional,F,S,1,0,3,4,76001
95,41,Partial College,Professional,M,M,1,0,1,2,122234
66,63,Graduate Degree,Management,M,M,1,2,0,2,75431
46,63,Graduate Degree,Management,F,M,1,2,0,4,105891
91,34,Partial College,Professional,F,M,1,2,3,4,108611
136,34,Partial College,Professional,M,M,1,2,3,4,123323
83,34,Partial College,Professional,M,S,0,1,0,0,130849
60,34,Partial College,Professional,F,M,1,1,0,0,104541
60,34,Partial College,Professional,F,M,1,1,0,0,97971
81,34,Partial College,Professional,M,M,1,1,0,0,117903
73,34,Bachelors ,Management,F,S,1,4,2,4,126705
149,35,Partial College,Professional,M,M,1,4,4,5,112212
145,35,Bachelors ,Management,M,M,1,2,3,3,179418
84,35,Bachelors ,Management,F,M,1,2,3,3,129379
134,35,Partial College,Professional,M,M,0,4,3,3,160241
92,35,Graduate Degree,Management,M,M,1,4,0,0,190094
139,36,Partial College,Professional,M,M,0,3,4,5,101413
90,36,Bachelors ,Management,F,M,1,3,3,3,145391
94,36,Bachelors ,Management,F,M,1,1,3,3,151412
90,36,Bachelors ,Management,F,M,1,3,3,3,130338
120,36,Partial College,Professional,M,S,0,3,2,2,165281
74,42,High School,Professional,M,S,0,2,0,2,85975
80,42,High School,Professional,M,M,0,2,0,2,88777
47,43,Partial High School,Skilled Manual,F,S,1,2,0,2,85996
45,62,Graduate Degree,Management,F,S,1,2,0,2,91375
68,62,Graduate Degree,Management,M,S,1,2,0,4,123978
75,61,Graduate Degree,Management,M,M,1,2,0,4,114319
143,37,Partial College,Professional,M,M,0,3,4,5,114972
123,37,High School,Professional,M,S,0,3,3,4,127429
89,37,Partial College,Professional,F,M,1,0,3,3,105962
137,37,Partial College,Professional,M,M,0,4,3,3,142288
136,37,Partial College,Professional,M,M,0,4,3,3,151817
83,43,Partial High School,Skilled Manual,M,M,1,2,0,2,106172
78,43,High School,Professional,M,M,0,2,0,2,89903
46,43,High School,Professional,F,S,1,2,0,2,60682
52,44,Graduate Degree,Management,F,S,0,2,0,3,99946
51,44,Graduate Degree,Management,F,S,1,2,0,3,102223
80,44,Graduate Degree,Management,M,S,1,2,0,3,134340
47,44,Graduate Degree,Management,F,S,0,2,0,3,83997
52,44,Graduate Degree,Management,F,S,0,2,0,3,89284
83,44,Graduate Degree,Management,M,M,1,2,0,3,108547
48,45,Partial College,Professional,F,S,0,2,0,3,49085
51,45,Partial College,Professional,F,S,0,2,0,3,50213
52,60,Graduate Degree,Management,F,M,0,2,0,4,95045
75,59,Bachelors ,Management,M,M,1,2,0,5,135851
48,21,High School,Skilled Manual,F,M,1,2,0,0,56046
48,21,High School,Skilled Manual,F,M,1,2,0,0,56046
124,59,Graduate Degree,Management,M,S,1,3,4,4,164292
77,58,Bachelors ,Management,M,M,1,2,0,5,141434
67,58,Bachelors ,Management,M,S,1,2,0,5,116061
126,58,Bachelors ,Management,M,M,1,4,3,3,170129
84,57,Bachelors ,Management,M,M,1,2,0,5,136977
83,58,Bachelors ,Management,M,M,1,2,0,5,126463
73,57,Bachelors ,Management,M,S,1,2,0,5,130533
139,57,Graduate Degree,Management,M,M,1,1,4,4,169487
91,29,Partial College,Skilled Manual,F,M,1,2,4,4,99528
44,35,Graduate Degree,Manual,F,S,1,0,0,1,39200
50,35,Graduate Degree,Clerical,F,M,1,0,0,1,55647
43,36,Bachelors ,Manual,F,M,1,0,0,1,23741
44,36,Bachelors ,Manual,F,M,1,0,0,1,25460
73,35,Graduate Degree,Clerical,M,M,1,0,0,1,59917
64,36,Bachelors ,Manual,M,M,1,0,0,1,34273
75,36,Graduate Degree,Clerical,M,M,1,0,0,1,43047
38,61,Graduate Degree,Clerical,F,M,1,0,0,1,25317
76,35,Graduate Degree,Clerical,M,M,1,0,0,5,76929
65,39,Bachelors ,Manual,M,M,1,0,0,1,25814
40,40,Partial College,Manual,F,S,1,0,0,1,35354
44,42,Partial College,Manual,F,S,1,1,0,2,12965
64,42,Partial College,Manual,M,M,1,1,0,2,23499
64,42,Partial College,Manual,M,M,1,1,0,2,19362
48,43,Partial College,Manual,F,M,1,1,0,2,30166
43,60,Graduate Degree,Clerical,F,M,1,0,0,1,65133
38,58,Bachelors ,Clerical,F,S,1,0,0,1,47631
56,57,Partial College,Manual,M,M,1,1,0,2,31196
43,55,Partial College,Manual,F,M,1,0,0,1,22174
66,55,Graduate Degree,Clerical,M,M,1,0,0,1,62998
56,17,Partial College,Manual,M,S,0,1,0,0,22404
61,18,Partial College,Manual,M,S,0,1,0,0,29764
39,19,Partial College,Manual,F,S,0,1,0,0,25891
61,19,Partial College,Manual,M,S,0,1,0,0,24248
52,20,High School,Manual,F,M,1,2,0,0,22864
67,20,High School,Manual,M,M,0,2,0,0,41170
45,18,High School,Manual,F,S,0,0,1,1,25441
42,18,Bachelors ,Clerical,F,M,1,0,0,0,35566
67,18,Bachelors ,Clerical,M,M,1,0,0,0,27436
70,19,High School,Manual,M,S,0,0,1,1,23701
52,19,Bachelors ,Clerical,F,M,0,0,0,0,37889
47,19,Bachelors ,Clerical,F,M,1,0,0,0,34085
38,19,Bachelors ,Clerical,F,M,1,0,0,0,28569
40,19,Bachelors ,Clerical,F,S,1,0,0,0,32140
43,54,Bachelors ,Clerical,F,M,1,0,0,1,39152
64,54,Bachelors ,Clerical,M,S,1,0,0,1,49331
65,54,Bachelors ,Clerical,M,M,1,0,0,1,64082
71,54,Graduate Degree,Clerical,M,S,1,0,0,1,80022
76,36,Graduate Degree,Clerical,M,M,1,0,0,4,74403
46,37,High School,Manual,F,S,0,1,1,1,19595
63,38,Partial College,Manual,M,S,1,1,0,2,26128
39,38,Partial College,Manual,F,M,1,1,0,2,11913
66,39,Partial College,Manual,M,M,1,1,0,2,30967
52,37,Graduate Degree,Clerical,F,M,1,0,0,3,69310
48,37,Bachelors ,Clerical,F,M,1,0,0,3,43508
54,37,Bachelors ,Clerical,F,M,1,0,0,3,63766
81,38,Graduate Degree,Clerical,M,M,1,0,0,3,69458
68,27,High School,Manual,M,S,0,1,1,1,27379
47,27,High School,Manual,F,S,0,1,1,1,28534
56,27,High School,Manual,F,S,1,0,2,2,23740
84,27,High School,Manual,M,S,1,0,2,2,20597
80,28,High School,Manual,M,S,1,0,2,2,23173
77,28,High School,Manual,M,S,1,0,2,2,10827
46,27,Bachelors ,Clerical,F,S,1,0,0,0,46755
87,28,High School,Manual,M,M,0,1,2,2,21382
40,28,Partial College,Manual,F,S,0,1,0,0,19993
71,28,Bachelors ,Clerical,M,S,1,0,0,0,63188
47,28,Bachelors ,Clerical,F,S,1,0,0,1,48864
74,28,Graduate Degree,Clerical,M,S,1,0,0,0,68329
48,28,Graduate Degree,Clerical,F,M,1,0,0,0,60646
55,28,Graduate Degree,Clerical,F,M,1,0,0,0,61349
53,28,Graduate Degree,Clerical,F,S,1,0,0,0,67631
38,46,Partial College,Manual,F,S,0,2,0,3,17336
41,45,Partial College,Manual,F,S,0,2,0,3,20850
65,45,Partial College,Manual,M,M,1,1,0,2,30778
76,44,High School,Manual,M,M,0,2,1,2,21316
85,29,Partial College,Manual,M,M,1,0,1,1,32556
112,43,Partial College,Professional,M,M,0,1,2,3,120076
66,43,Partial College,Professional,F,S,1,1,2,4,95136
68,43,Partial College,Professional,F,M,0,1,2,4,101273
104,43,Partial College,Professional,M,S,1,1,2,4,125866
73,53,Partial College,Professional,M,S,0,2,0,5,125229
59,52,Partial High School,Skilled Manual,F,M,1,4,1,3,79767
58,52,High School,Professional,F,M,1,2,1,5,66498
76,52,Partial College,Professional,M,S,0,2,0,5,125807
148,52,Graduate Degree,Management,M,M,1,4,4,4,178308
125,51,Bachelors ,Management,M,M,1,4,3,3,125800
93,51,Bachelors ,Management,F,M,1,4,4,4,152180
153,51,Bachelors ,Management,M,M,1,3,4,4,182647
70,43,High School,Professional,F,M,1,2,2,4,93331
153,44,Bachelors ,Management,M,M,1,4,4,4,186543
102,44,Partial College,Professional,F,M,1,2,5,5,133910
96,44,Bachelors ,Management,F,S,1,2,5,5,141009
96,45,Partial College,Professional,M,M,1,2,1,4,117257
58,45,High School,Professional,F,M,1,2,1,4,101791
164,45,Partial College,Professional,M,M,1,2,5,5,165125
70,46,High School,Professional,F,M,1,2,2,4,103380
162,46,Partial College,Professional,M,M,1,4,5,5,150183
81,47,Partial College,Management,F,S,1,4,4,4,107217
104,47,Partial College,Management,F,M,0,4,5,5,141165
110,48,High School,Management,F,M,1,4,5,5,145244
67,49,High School,Management,F,M,0,3,1,4,110928
88,50,Partial High School,Skilled Manual,M,M,0,2,0,5,104696
49,50,Partial High School,Skilled Manual,F,M,0,2,0,5,82214
79,50,Partial High School,Skilled Manual,M,M,1,2,0,5,115815
47,21,Bachelors ,Professional,F,S,0,4,0,0,78939
48,21,Bachelors ,Professional,F,M,1,3,0,0,79002
48,23,Bachelors ,Professional,F,S,0,3,0,0,92089
53,23,Bachelors ,Professional,F,S,0,3,0,0,83399
50,23,Bachelors ,Professional,F,M,1,4,0,0,86209
80,22,Bachelors ,Professional,M,S,1,3,0,0,139308
87,22,Bachelors ,Professional,M,M,1,3,0,0,128720
154,22,High School,Management,M,S,1,4,5,5,149427
73,23,Bachelors ,Professional,M,S,0,4,0,0,104567
50,24,Bachelors ,Professional,F,S,0,3,0,0,100682
81,24,Bachelors ,Professional,M,S,0,3,0,0,142494
50,23,Bachelors ,Professional,F,S,0,3,0,0,119351
153,23,High School,Management,M,M,1,2,5,5,107928
168,23,Partial High School,Professional,M,M,1,4,5,5,145443
59,24,Bachelors ,Professional,F,M,1,3,0,0,106507
102,24,High School,Management,F,M,1,2,5,5,101203
87,25,Bachelors ,Professional,M,S,0,3,0,0,120006
75,25,Bachelors ,Professional,M,S,0,3,0,0,119552
106,25,High School,Management,F,M,1,4,5,5,143305
106,25,High School,Management,F,M,0,4,5,5,135324
86,26,Bachelors ,Professional,M,M,1,4,0,0,137163
83,26,Bachelors ,Professional,M,M,0,4,0,0,138198
167,26,Partial High School,Management,M,M,1,4,5,5,168993
170,28,Graduate Degree,Management,M,M,1,4,5,5,169910
55,22,Bachelors ,Skilled Manual,F,M,1,0,1,1,49744
58,24,Partial High School,Manual,M,S,0,2,0,0,26946
44,24,Partial College,Clerical,F,S,1,1,0,0,51941
105,34,Bachelors ,Professional,M,S,1,2,2,3,99190
37,17,Partial High School,Manual,F,S,0,2,0,0,24785
54,17,Partial High School,Manual,M,S,1,2,0,0,13028
67,19,High School,Manual,M,S,0,1,0,0,50070
60,24,High School,Manual,M,S,0,1,0,0,30355
71,24,High School,Manual,M,S,0,1,0,0,61023
60,24,Bachelors ,Skilled Manual,F,M,1,0,1,1,54557
60,24,Bachelors ,Skilled Manual,F,M,1,0,1,1,58347
40,25,High School,Manual,F,S,0,1,0,0,49496
80,25,Bachelors ,Skilled Manual,M,M,1,1,1,1,51282
93,25,Partial College,Clerical,M,S,1,0,2,2,57267
42,26,Partial High School,Manual,F,S,1,2,0,0,23926
55,26,Partial High School,Manual,M,S,1,2,0,0,27701
36,26,Partial High School,Manual,F,S,0,2,0,0,20157
53,26,Partial High School,Manual,M,S,0,2,0,0,15205
64,26,Partial High School,Manual,M,M,0,2,0,0,16203
65,26,High School,Manual,M,S,0,1,0,0,46351
62,27,Partial College,Clerical,F,S,1,0,2,2,54254
85,27,Partial College,Clerical,M,S,1,0,2,2,55337
87,26,Partial College,Clerical,M,S,1,1,2,2,42308
83,24,Bachelors ,Management,M,S,1,1,0,0,141971
83,24,Bachelors ,Management,M,S,1,1,0,0,141971
53,27,Partial College,Clerical,F,S,1,2,2,2,38417
98,23,Partial College,Clerical,M,S,1,2,3,3,49998
108,23,Partial College,Clerical,M,S,1,2,3,3,68796
45,23,Graduate Degree,Skilled Manual,F,S,1,0,0,0,59985
63,22,Partial College,Clerical,F,S,1,2,3,3,50787
119,22,Partial College,Clerical,M,S,1,1,4,4,66715
61,67,Graduate Degree,Skilled Manual,M,M,1,0,0,1,69319
39,66,Bachelors ,Skilled Manual,F,M,1,1,0,1,64535
76,31,Graduate Degree,Skilled Manual,M,S,0,0,0,0,96644
47,31,Graduate Degree,Skilled Manual,F,S,1,0,0,0,93939
48,44,Bachelors ,Skilled Manual,F,M,1,1,0,1,43577
79,44,Bachelors ,Skilled Manual,M,M,1,1,0,1,61547
73,44,Bachelors ,Skilled Manual,M,M,1,1,0,1,55336
35,43,Partial High School,Manual,F,S,1,2,0,3,20794
73,43,High School,Clerical,M,M,1,1,0,1,61837
50,43,High School,Clerical,F,M,1,1,0,1,37422
46,43,High School,Clerical,F,M,1,1,0,1,64511
45,43,Partial College,Clerical,F,M,1,1,0,1,41968
72,42,Partial College,Clerical,M,M,1,1,0,1,59874
72,42,Partial College,Clerical,M,M,1,1,0,1,57164
53,42,Partial College,Clerical,F,M,1,1,0,1,45500
